Time,"Conductivity, mS","Temperature, C"
12:47:24,1.052,30
0,0,0
0,0,0
12:47:26,1.052,30
0,0,0
0,0,0
12:47:28,1.052,30
0,0,0
0,0,0
12:47:30,1.052,30
0,0,0
0,0,0
12:47:32,1.052,30
0,0,0
0,0,0
12:47:34,1.052,30
0,0,0
0,0,0
12:47:36,1.051,30
0,0,0
0,0,0
12:47:38,1.052,30
0,0,0
0,0,0
12:47:40,1.052,30
0,0,0
0,0,0
12:47:42,1.052,29.9
0,0,0
0,0,0
12:47:44,1.053,29.9
0,0,0
0,0,0
12:47:46,1.053,29.9
0,0,0
0,0,0
12:47:48,1.053,29.9
0,0,0
0,0,0
12:47:50,1.053,29.9
0,0,0
0,0,0
12:47:52,1.053,29.9
0,0,0
0,0,0
12:47:54,1.053,29.9
0,0,0
0,0,0
12:47:56,1.053,29.9
0,0,0
0,0,0
12:47:58,1.053,29.9
0,0,0
0,0,0
12:48:00,1.052,29.9
0,0,0
0,0,0
12:48:02,1.052,29.8
0,0,0
0,0,0
12:48:04,1.053,29.8
0,0,0
0,0,0
12:48:06,1.053,29.8
0,0,0
0,0,0
12:48:08,1.053,29.8
0,0,0
0,0,0
12:48:10,1.054,29.8
0,0,0
0,0,0
12:48:12,1.053,29.8
0,0,0
0,0,0
12:48:14,1.053,29.8
0,0,0
0,0,0
12:48:16,1.053,29.8
0,0,0
0,0,0
12:48:18,1.053,29.8
0,0,0
0,0,0
12:48:20,1.053,29.8
0,0,0
0,0,0
12:48:22,1.053,29.8
0,0,0
0,0,0
12:48:24,1.053,29.8
0,0,0
0,0,0
12:48:26,1.053,29.8
0,0,0
0,0,0
12:48:28,1.052,29.7
0,0,0
0,0,0
12:48:30,1.053,29.7
0,0,0
0,0,0
12:48:32,1.053,29.7
0,0,0
0,0,0
12:48:34,1.053,29.7
0,0,0
0,0,0
12:48:36,1.054,29.7
0,0,0
0,0,0
12:48:38,1.054,29.7
0,0,0
0,0,0
12:48:40,1.054,29.7
0,0,0
0,0,0
12:48:42,1.054,29.7
0,0,0
0,0,0
12:48:44,1.054,29.7
0,0,0
0,0,0
12:48:46,1.054,29.7
0,0,0
0,0,0
12:48:48,1.054,29.7
0,0,0
0,0,0
12:48:50,1.054,29.7
0,0,0
0,0,0
12:48:52,1.054,29.6
0,0,0
0,0,0
12:48:54,1.054,29.6
0,0,0
0,0,0
12:48:56,1.055,29.6
0,0,0
0,0,0
12:48:58,1.055,29.6
0,0,0
0,0,0
12:49:00,1.055,29.6
0,0,0
0,0,0
12:49:02,1.055,29.6
0,0,0
0,0,0
12:49:04,1.055,29.6
0,0,0
0,0,0
12:49:06,1.055,29.6
0,0,0
0,0,0
12:49:08,1.054,29.6
0,0,0
0,0,0
12:49:10,1.054,29.6
0,0,0
0,0,0
12:49:12,1.054,29.6
0,0,0
0,0,0
12:49:14,1.054,29.6
0,0,0
0,0,0
12:49:16,1.054,29.6
0,0,0
0,0,0
12:49:18,1.054,29.5
0,0,0
0,0,0
12:49:20,1.055,29.5
0,0,0
0,0,0
12:49:22,1.055,29.5
0,0,0
0,0,0
12:49:24,1.055,29.5
0,0,0
0,0,0
12:49:26,1.056,29.5
0,0,0
0,0,0
12:49:28,1.056,29.5
0,0,0
0,0,0
12:49:30,1.056,29.5
0,0,0
0,0,0
12:49:32,1.056,29.5
0,0,0
0,0,0
12:49:34,1.056,29.5
0,0,0
0,0,0
12:49:36,1.056,29.5
0,0,0
0,0,0
12:49:38,1.056,29.5
0,0,0
0,0,0
12:49:40,1.055,29.5
0,0,0
0,0,0
12:49:42,1.055,29.5
0,0,0
0,0,0
12:49:44,1.055,29.4
0,0,0
0,0,0
12:49:46,1.055,29.4
0,0,0
0,0,0
12:49:48,1.055,29.4
0,0,0
0,0,0
12:49:50,1.056,29.4
0,0,0
0,0,0
12:49:52,1.057,29.4
0,0,0
0,0,0
12:49:54,1.057,29.4
0,0,0
0,0,0
12:49:56,1.057,29.4
0,0,0
0,0,0
12:49:58,1.057,29.4
0,0,0
0,0,0
12:50:00,1.057,29.4
0,0,0
0,0,0
12:50:02,1.057,29.4
0,0,0
0,0,0
12:50:04,1.057,29.4
0,0,0
0,0,0
12:50:06,1.056,29.4
0,0,0
0,0,0
