Time,"Conductivity, mS","Temperature, C"
16:32:02,1.101,26.2
0,0,0
0,0,0
16:32:04,1.097,26.5
0,0,0
0,0,0
16:32:06,1.097,26.8
0,0,0
0,0,0
16:32:08,1.092,27
0,0,0
0,0,0
16:32:10,1.086,27.2
0,0,0
0,0,0
16:32:12,1.081,27.3
0,0,0
0,0,0
16:32:14,1.077,27.4
0,0,0
0,0,0
16:32:16,1.074,27.5
0,0,0
0,0,0
16:32:18,1.071,27.6
0,0,0
0,0,0
16:32:20,1.069,27.6
0,0,0
0,0,0
16:32:22,1.067,27.7
0,0,0
0,0,0
16:32:24,1.066,27.7
0,0,0
0,0,0
16:32:26,1.065,27.8
0,0,0
0,0,0
16:32:28,1.065,27.8
0,0,0
0,0,0
16:32:30,1.063,27.9
0,0,0
0,0,0
16:32:32,1.062,27.9
0,0,0
0,0,0
16:32:34,1.061,28
0,0,0
0,0,0
16:32:36,1.06,28
0,0,0
0,0,0
16:32:38,1.059,28
0,0,0
0,0,0
16:32:40,1.059,28
0,0,0
0,0,0
16:32:42,1.058,28.1
0,0,0
0,0,0
16:32:44,1.058,28.1
0,0,0
0,0,0
16:32:46,1.058,28.1
0,0,0
0,0,0
16:32:48,1.057,28.1
0,0,0
0,0,0
16:32:50,1.057,28.1
0,0,0
0,0,0
16:32:52,1.056,28.1
0,0,0
0,0,0
16:32:54,1.056,28.1
0,0,0
0,0,0
16:32:56,1.056,28.1
0,0,0
0,0,0
16:32:58,1.056,28.2
0,0,0
0,0,0
16:33:00,1.056,28.2
0,0,0
0,0,0
16:33:02,1.055,28.2
0,0,0
0,0,0
16:33:04,1.055,28.2
0,0,0
0,0,0
16:33:06,1.054,28.2
0,0,0
0,0,0
16:33:08,1.054,28.2
0,0,0
0,0,0
16:33:10,1.053,28.2
0,0,0
0,0,0
16:33:12,1.053,28.2
0,0,0
0,0,0
16:33:14,1.054,28.2
0,0,0
0,0,0
16:33:16,1.054,28.2
0,0,0
0,0,0
16:33:18,1.054,28.2
0,0,0
0,0,0
16:33:20,1.054,28.2
0,0,0
0,0,0
16:33:22,1.054,28.2
0,0,0
0,0,0
16:33:24,1.054,28.2
0,0,0
0,0,0
16:33:26,1.054,28.2
0,0,0
0,0,0
16:33:28,1.054,28.2
0,0,0
0,0,0
16:33:30,1.053,28.2
0,0,0
0,0,0
16:33:32,1.053,28.2
0,0,0
0,0,0
16:33:34,1.053,28.2
0,0,0
0,0,0
16:33:36,1.053,28.2
0,0,0
0,0,0
16:33:38,1.053,28.2
0,0,0
0,0,0
16:33:40,1.053,28.2
0,0,0
0,0,0
16:33:42,1.053,28.2
0,0,0
0,0,0
16:33:44,1.053,28.1
0,0,0
0,0,0
16:33:46,1.054,28.1
0,0,0
0,0,0
16:33:48,1.054,28.1
0,0,0
0,0,0
16:33:50,1.055,28.1
0,0,0
0,0,0
16:33:52,1.055,28.1
0,0,0
0,0,0
16:33:54,1.055,28.1
0,0,0
0,0,0
16:33:56,1.055,28.1
0,0,0
0,0,0
16:33:58,1.055,28.1
0,0,0
0,0,0
16:34:00,1.055,28.1
0,0,0
0,0,0
16:34:02,1.055,28.1
0,0,0
0,0,0
16:34:04,1.055,28.1
0,0,0
0,0,0
16:34:06,1.055,28.1
0,0,0
0,0,0
16:34:08,1.054,28.1
0,0,0
0,0,0
16:34:10,1.054,28.1
0,0,0
0,0,0
16:34:12,1.054,28.1
