Time,"Conductivity, mS","Temperature, C"
17:31:07,1.114,27.6
0,0,0
0,0,0
17:31:09,1.11,27.6
0,0,0
0,0,0
17:31:11,1.11,27.9
0,0,0
0,0,0
17:31:13,1.104,28.2
0,0,0
0,0,0
17:31:15,1.097,28.4
0,0,0
0,0,0
17:31:17,1.091,28.5
0,0,0
0,0,0
17:31:19,1.086,28.6
0,0,0
0,0,0
17:31:21,1.083,28.7
0,0,0
0,0,0
17:31:23,1.08,28.8
0,0,0
0,0,0
17:31:25,1.078,28.8
0,0,0
0,0,0
17:31:27,1.078,28.9
0,0,0
0,0,0
17:31:29,1.076,29
0,0,0
0,0,0
17:31:31,1.074,29.1
0,0,0
0,0,0
17:31:33,1.072,29.1
0,0,0
0,0,0
17:31:35,1.07,29.2
0,0,0
0,0,0
17:31:37,1.069,29.2
0,0,0
0,0,0
17:31:39,1.068,29.3
0,0,0
0,0,0
17:31:41,1.067,29.3
0,0,0
0,0,0
17:31:43,1.066,29.3
0,0,0
0,0,0
17:31:45,1.066,29.3
0,0,0
0,0,0
17:31:47,1.065,29.3
0,0,0
0,0,0
17:31:49,1.065,29.4
0,0,0
0,0,0
17:31:51,1.065,29.4
0,0,0
0,0,0
17:31:53,1.064,29.4
0,0,0
0,0,0
17:31:55,1.063,29.4
0,0,0
0,0,0
17:31:57,1.063,29.4
0,0,0
0,0,0
17:31:59,1.063,29.4
0,0,0
0,0,0
17:32:01,1.063,29.4
0,0,0
0,0,0
17:32:03,1.062,29.5
0,0,0
0,0,0
17:32:05,1.062,29.5
0,0,0
0,0,0
17:32:07,1.061,29.5
0,0,0
0,0,0
17:32:09,1.061,29.5
0,0,0
0,0,0
17:32:11,1.06,29.5
0,0,0
0,0,0
17:32:13,1.06,29.5
0,0,0
0,0,0
17:32:15,1.06,29.5
0,0,0
0,0,0
17:32:17,1.06,29.5
0,0,0
0,0,0
17:32:19,1.06,29.5
0,0,0
0,0,0
17:32:21,1.06,29.5
0,0,0
0,0,0
17:32:23,1.06,29.5
0,0,0
0,0,0
17:32:25,1.06,29.5
0,0,0
0,0,0
17:32:27,1.06,29.5
0,0,0
0,0,0
17:32:29,1.06,29.5
0,0,0
0,0,0
17:32:31,1.06,29.5
0,0,0
0,0,0
17:32:33,1.06,29.5
0,0,0
0,0,0
17:32:35,1.06,29.5
0,0,0
0,0,0
17:32:37,1.06,29.5
0,0,0
0,0,0
17:32:39,1.059,29.5
0,0,0
0,0,0
17:32:41,1.059,29.5
0,0,0
0,0,0
17:32:43,1.059,29.4
0,0,0
0,0,0
17:32:45,1.059,29.4
0,0,0
0,0,0
17:32:47,1.06,29.4
0,0,0
0,0,0
17:32:49,1.06,29.4
0,0,0
0,0,0
17:32:51,1.061,29.4
0,0,0
0,0,0
17:32:53,1.061,29.4
0,0,0
0,0,0
17:32:55,1.061,29.4
0,0,0
0,0,0
17:32:57,1.061,29.4
0,0,0
0,0,0
17:32:59,1.061,29.4
0,0,0
0,0,0
17:33:01,1.061,29.4
0,0,0
0,0,0
17:33:03,1.06,29.4
0,0,0
0,0,0
17:33:05,1.06,29.4
0,0,0
0,0,0
17:33:07,1.06,29.4
0,0,0
0,0,0
17:33:09,1.059,29.4
0,0,0
0,0,0
17:33:11,1.06,29.4
0,0,0
0,0,0
17:33:13,1.06,29.4
0,0,0
0,0,0
17:33:15,1.06,29.4
0,0,0
0,0,0
17:33:17,1.06,29.3
0,0,0
0,0,0
17:33:19,1.06,29.3
0,0,0
0,0,0
17:33:21,1.06,29.3
0,0,0
0,0,0
17:33:23,1.061,29.3
0,0,0
0,0,0
17:33:25,1.061,29.3
0,0,0
0,0,0
17:33:27,1.061,29.3
0,0,0
0,0,0
17:33:29,1.061,29.3
0,0,0
0,0,0
17:33:31,1.061,29.3
0,0,0
0,0,0
17:33:33,1.061,29.3
0,0,0
0,0,0
17:33:35,1.061,29.3
0,0,0
0,0,0
17:33:37,1.061,29.3
0,0,0
0,0,0
17:33:39,1.061,29.3
0,0,0
0,0,0
17:33:41,1.06,29.3
0,0,0
0,0,0
17:33:43,1.06,29.3
0,0,0
0,0,0
17:33:45,1.06,29.3
0,0,0
0,0,0
17:33:47,1.06,29.2
0,0,0
0,0,0
17:33:49,1.06,29.2
0,0,0
0,0,0
17:33:51,1.061,29.2
0,0,0
0,0,0
17:33:53,1.061,29.2
0,0,0
0,0,0
17:33:55,1.061,29.2
0,0,0
0,0,0
17:33:57,1.061,29.2
0,0,0
0,0,0
17:33:59,1.061,29.2
0,0,0
0,0,0
17:34:01,1.061,29.2
0,0,0
0,0,0
17:34:03,1.061,29.2
0,0,0
0,0,0
17:34:05,1.061,29.2
0,0,0
0,0,0
17:34:07,1.061,29.2
0,0,0
0,0,0
17:34:09,1.061,29.2
0,0,0
0,0,0
