Time,"Conductivity, mS","Temperature, C"
14:26:10,1.108,29.5
0,0,0
0,0,0
14:26:12,1.108,29.5
0,0,0
0,0,0
14:26:14,1.108,29.5
0,0,0
0,0,0
14:26:16,1.108,29.5
0,0,0
0,0,0
14:26:18,1.108,29.5
0,0,0
0,0,0
14:26:20,1.108,29.5
0,0,0
0,0,0
14:26:22,1.107,29.5
0,0,0
0,0,0
14:26:24,1.107,29.5
0,0,0
0,0,0
14:26:26,1.107,29.5
0,0,0
0,0,0
14:26:28,1.107,29.5
0,0,0
0,0,0
14:26:30,1.107,29.5
0,0,0
0,0,0
14:26:32,1.106,29.5
0,0,0
0,0,0
14:26:34,1.106,29.5
0,0,0
0,0,0
14:26:36,1.106,29.5
0,0,0
0,0,0
14:26:38,1.106,29.5
0,0,0
0,0,0
14:26:40,1.105,29.5
0,0,0
0,0,0
14:26:42,1.105,29.5
0,0,0
0,0,0
14:26:44,1.104,29.5
0,0,0
0,0,0
14:26:46,1.104,29.5
0,0,0
0,0,0
14:26:48,1.104,29.5
0,0,0
0,0,0
14:26:50,1.104,29.5
0,0,0
0,0,0
14:26:52,1.104,29.5
0,0,0
0,0,0
14:26:54,1.104,29.5
0,0,0
0,0,0
14:26:56,1.104,29.4
0,0,0
0,0,0
14:26:58,1.104,29.4
0,0,0
0,0,0
14:27:00,1.105,29.4
0,0,0
0,0,0
14:27:02,1.105,29.4
0,0,0
0,0,0
14:27:04,1.106,29.4
0,0,0
0,0,0
14:27:06,1.106,29.4
0,0,0
0,0,0
14:27:08,1.107,29.4
0,0,0
0,0,0
14:27:10,1.106,29.4
0,0,0
0,0,0
14:27:12,1.106,29.4
0,0,0
0,0,0
14:27:14,1.106,29.4
0,0,0
0,0,0
14:27:16,1.106,29.4
0,0,0
0,0,0
14:27:18,1.105,29.4
0,0,0
0,0,0
14:27:20,1.105,29.4
0,0,0
0,0,0
14:27:22,1.104,29.4
0,0,0
0,0,0
14:27:24,1.104,29.4
0,0,0
0,0,0
14:27:26,1.104,29.3
0,0,0
0,0,0
14:27:28,1.104,29.3
0,0,0
0,0,0
14:27:30,1.105,29.3
0,0,0
0,0,0
14:27:32,1.105,29.3
0,0,0
0,0,0
14:27:34,1.106,29.3
0,0,0
0,0,0
14:27:36,1.106,29.3
0,0,0
0,0,0
14:27:38,1.106,29.3
0,0,0
0,0,0
14:27:40,1.107,29.3
0,0,0
0,0,0
14:27:42,1.107,29.3
0,0,0
0,0,0
14:27:44,1.107,29.3
0,0,0
0,0,0
14:27:46,1.107,29.3
0,0,0
0,0,0
14:27:48,1.107,29.3
0,0,0
0,0,0
14:27:50,1.107,29.3
0,0,0
0,0,0
14:27:52,1.106,29.2
0,0,0
0,0,0
14:27:54,1.107,29.2
0,0,0
0,0,0
14:27:56,1.107,29.2
0,0,0
0,0,0
14:27:58,1.107,29.2
0,0,0
0,0,0
14:28:00,1.107,29.2
0,0,0
0,0,0
14:28:02,1.107,29.2
0,0,0
0,0,0
14:28:04,1.107,29.2
0,0,0
0,0,0
14:28:06,1.106,29.2
0,0,0
0,0,0
14:28:08,1.106,29.2
0,0,0
0,0,0
14:28:10,1.106,29.2
0,0,0
0,0,0
14:28:12,1.106,29.2
0,0,0
0,0,0
14:28:14,1.107,29.2
0,0,0
0,0,0
14:28:16,1.107,29.2
0,0,0
0,0,0
14:28:18,1.107,29.2
0,0,0
0,0,0
14:28:20,1.107,29.1
0,0,0
0,0,0
14:28:22,1.108,29.1
0,0,0
0,0,0
14:28:24,1.108,29.1
0,0,0
0,0,0
14:28:26,1.109,29.1
0,0,0
0,0,0
14:28:28,1.109,29.1
0,0,0
0,0,0
14:28:30,1.109,29.1
0,0,0
0,0,0
14:28:32,1.108,29.1
0,0,0
0,0,0
14:28:34,1.108,29.1
0,0,0
0,0,0
14:28:36,1.108,29.1
0,0,0
0,0,0
14:28:38,1.107,29.1
0,0,0
0,0,0
14:28:40,1.107,29.1
0,0,0
0,0,0
14:28:42,1.106,29.1
0,0,0
0,0,0
14:28:44,1.106,29.1
0,0,0
0,0,0
14:28:46,1.106,29.1
0,0,0
0,0,0
14:28:48,1.106,29.1
0,0,0
0,0,0
14:28:50,1.106,29
0,0,0
0,0,0
14:28:52,1.107,29
0,0,0
0,0,0
14:28:54,1.107,29
0,0,0
0,0,0
14:28:56,1.107,29
0,0,0
0,0,0
14:28:58,1.108,29
0,0,0
0,0,0
14:29:00,1.108,29
0,0,0
0,0,0
14:29:02,1.108,29
0,0,0
0,0,0
14:29:04,1.108,29
0,0,0
0,0,0
14:29:06,1.109,29
0,0,0
0,0,0
14:29:08,1.109,29
0,0,0
0,0,0
