Time,"Conductivity, mS","Temperature, C"
17:01:36,1.105,29.3
0,0,0
0,0,0
17:01:39,1.105,29.3
0,0,0
0,0,0
17:01:41,1.105,29.3
0,0,0
0,0,0
17:01:43,1.105,29.3
0,0,0
0,0,0
17:01:45,1.105,29.3
0,0,0
0,0,0
17:01:47,1.105,29.3
0,0,0
0,0,0
17:01:49,1.104,29.3
0,0,0
0,0,0
17:01:51,1.104,29.3
0,0,0
0,0,0
17:01:53,1.104,29.3
0,0,0
0,0,0
17:01:55,1.104,29.3
0,0,0
0,0,0
17:01:57,1.104,29.3
0,0,0
0,0,0
17:01:59,1.104,29.3
0,0,0
0,0,0
17:02:01,1.104,29.3
0,0,0
0,0,0
17:02:03,1.104,29.3
0,0,0
0,0,0
17:02:05,1.104,29.3
0,0,0
0,0,0
17:02:07,1.104,29.3
0,0,0
0,0,0
17:02:09,1.104,29.3
0,0,0
0,0,0
17:02:11,1.104,29.3
0,0,0
0,0,0
17:02:13,1.104,29.3
0,0,0
0,0,0
17:02:15,1.104,29.3
0,0,0
0,0,0
17:02:17,1.104,29.3
0,0,0
0,0,0
17:02:19,1.104,29.3
0,0,0
0,0,0
17:02:21,1.103,29.3
0,0,0
0,0,0
17:02:23,1.103,29.2
0,0,0
0,0,0
17:02:25,1.103,29.2
0,0,0
0,0,0
17:02:27,1.104,29.2
0,0,0
0,0,0
17:02:29,1.104,29.2
0,0,0
0,0,0
17:02:31,1.104,29.2
0,0,0
0,0,0
17:02:33,1.104,29.2
0,0,0
0,0,0
17:02:35,1.104,29.2
0,0,0
0,0,0
17:02:37,1.104,29.2
0,0,0
0,0,0
17:02:39,1.104,29.2
0,0,0
0,0,0
17:02:41,1.104,29.2
0,0,0
0,0,0
17:02:43,1.104,29.2
0,0,0
0,0,0
17:02:45,1.104,29.2
0,0,0
0,0,0
17:02:47,1.104,29.2
0,0,0
0,0,0
17:02:49,1.104,29.2
0,0,0
0,0,0
17:02:51,1.103,29.1
0,0,0
0,0,0
17:02:53,1.104,29.1
0,0,0
0,0,0
17:02:55,1.104,29.1
0,0,0
0,0,0
17:02:57,1.104,29.1
0,0,0
0,0,0
17:02:59,1.105,29.1
0,0,0
0,0,0
17:03:01,1.105,29.1
0,0,0
0,0,0
17:03:03,1.106,29.1
0,0,0
0,0,0
17:03:05,1.106,29.1
0,0,0
0,0,0
17:03:07,1.105,29.1
0,0,0
0,0,0
17:03:09,1.105,29.1
0,0,0
0,0,0
17:03:11,1.105,29.1
0,0,0
0,0,0
17:03:13,1.105,29.1
0,0,0
0,0,0
17:03:15,1.104,29.1
0,0,0
0,0,0
17:03:17,1.104,29.1
0,0,0
0,0,0
17:03:19,1.104,29
0,0,0
0,0,0
17:03:21,1.104,29
0,0,0
0,0,0
17:03:23,1.105,29
0,0,0
0,0,0
17:03:25,1.105,29
0,0,0
0,0,0
17:03:27,1.106,29
0,0,0
0,0,0
17:03:29,1.106,29
0,0,0
0,0,0
17:03:31,1.106,29
0,0,0
0,0,0
17:03:33,1.106,29
0,0,0
0,0,0
17:03:35,1.106,29
0,0,0
0,0,0
17:03:37,1.106,29
0,0,0
0,0,0
17:03:39,1.105,29
0,0,0
0,0,0
17:03:41,1.105,29
0,0,0
0,0,0
17:03:43,1.105,29
0,0,0
0,0,0
17:03:45,1.105,28.9
0,0,0
0,0,0
17:03:47,1.106,28.9
0,0,0
0,0,0
17:03:49,1.107,28.9
0,0,0
0,0,0
17:03:51,1.107,28.9
0,0,0
0,0,0
17:03:53,1.107,28.9
0,0,0
0,0,0
17:03:55,1.107,28.9
0,0,0
0,0,0
17:03:57,1.107,28.9
0,0,0
0,0,0
17:03:59,1.107,28.9
0,0,0
0,0,0
17:04:01,1.106,28.9
0,0,0
0,0,0
17:04:03,1.106,28.9
0,0,0
0,0,0
17:04:05,1.106,28.9
0,0,0
0,0,0
17:04:07,1.106,28.9
0,0,0
0,0,0
17:04:09,1.106,28.9
0,0,0
0,0,0
17:04:11,1.106,28.8
0,0,0
0,0,0
17:04:13,1.107,28.8
0,0,0
0,0,0
17:04:15,1.107,28.8
0,0,0
0,0,0
17:04:17,1.107,28.8
0,0,0
0,0,0
17:04:19,1.107,28.8
0,0,0
0,0,0
17:04:21,1.107,28.8
0,0,0
0,0,0
17:04:23,1.107,28.8
0,0,0
0,0,0
17:04:25,1.107,28.8
0,0,0
0,0,0
17:04:27,1.107,28.8
0,0,0
0,0,0
17:04:29,1.107,28.8
0,0,0
0,0,0
17:04:31,1.107,28.8
0,0,0
0,0,0
17:04:33,1.107,28.8
0,0,0
0,0,0
17:04:35,1.107,28.8
0,0,0
0,0,0
17:04:37,1.106,28.8
0,0,0
0,0,0
17:04:39,1.106,28.7
0,0,0
0,0,0
17:04:41,1.106,28.7
0,0,0
0,0,0
17:04:43,1.107,28.7
0,0,0
0,0,0
17:04:45,1.107,28.7
0,0,0
0,0,0
17:04:47,1.107,28.7
0,0,0
0,0,0
17:04:49,1.107,28.7
0,0,0
0,0,0
17:04:51,1.107,28.7
0,0,0
0,0,0
17:04:53,1.107,28.7
0,0,0
0,0,0
17:04:55,1.107,28.7
0,0,0
0,0,0
17:04:57,1.107,28.7
0,0,0
0,0,0
17:04:59,1.107,28.7
0,0,0
0,0,0
17:05:01,1.107,28.7
0,0,0
0,0,0
17:05:03,1.107,28.6
0,0,0
