Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1,Temperature_2
13:40:46,0.06,0.06,23.50,22.75
13:40:49,0.06,0.06,23.75,22.25
13:40:52,0.06,0.06,23.25,22.25
13:40:55,0.06,0.06,23.00,21.75
13:40:58,0.06,0.07,22.50,21.75
13:41:01,0.06,0.06,22.50,22.00
13:41:04,0.06,0.06,21.75,22.25
13:41:07,0.05,0.06,21.25,22.25
13:41:10,0.05,0.06,21.50,22.00
13:41:13,0.05,0.06,22.50,22.00
13:41:16,0.05,0.05,23.00,22.00
13:41:19,0.05,0.05,24.00,21.50
13:41:22,0.05,0.05,23.50,21.75
13:41:25,0.04,0.05,23.75,22.00
13:41:28,0.04,0.05,24.00,22.00
13:41:31,0.04,0.05,23.75,21.50
13:41:34,0.05,0.05,24.00,22.00
13:41:37,0.05,0.05,23.75,21.75
13:41:40,0.04,0.04,23.75,21.75
13:41:43,0.04,0.05,22.75,22.50
13:41:46,0.04,0.04,22.00,22.50
13:41:49,0.04,0.05,21.75,21.75
13:41:52,0.04,0.04,22.25,22.25
13:41:55,0.04,0.04,22.75,21.75
13:41:58,0.04,0.04,23.25,21.75
13:42:01,0.04,0.04,23.25,22.25
13:42:04,0.04,0.04,24.00,21.75
13:42:07,0.04,0.04,23.50,22.50
13:42:10,0.04,0.04,23.75,22.25
13:42:13,0.04,0.04,23.25,22.25
13:42:16,0.04,0.04,22.50,22.25
13:42:19,0.03,0.04,22.25,22.00
13:42:22,0.03,0.04,22.00,21.75
13:42:25,0.03,0.04,21.75,22.00
13:42:28,0.03,0.04,22.50,22.50
13:42:31,0.03,0.03,22.75,22.00
13:42:34,0.03,0.03,23.75,21.75
13:42:37,0.03,0.03,24.25,22.00
13:42:40,0.03,0.03,23.50,22.50
13:42:43,0.03,0.03,22.75,22.00
13:42:46,0.03,0.03,22.00,22.00
13:42:49,0.03,0.03,21.75,22.50
13:42:52,0.03,0.03,22.50,22.00
13:42:55,0.03,0.03,22.75,22.25
13:42:58,0.03,0.03,23.75,22.00
13:43:01,0.03,0.03,23.50,22.25
13:43:04,0.03,0.03,23.25,22.25
13:43:07,0.03,0.03,22.50,22.25
13:43:10,0.03,0.03,21.75,22.25
13:43:13,0.03,0.03,22.25,21.75
13:43:16,0.03,0.03,22.75,21.75
13:43:19,0.03,0.03,23.75,22.00
13:43:22,0.02,0.03,23.50,22.00
13:43:25,0.03,0.03,22.50,22.25
13:43:28,0.02,0.03,21.75,22.25
13:43:31,0.02,0.03,22.00,22.25
