Time,Conductivity (mS),Temperature (C)
0,0,0
0,0,0
16:44:46,0.915,22
0,0,0
0,0,0
16:44:48,0.915,22
0,0,0
0,0,0
16:44:50,0.915,22
0,0,0
0,0,0
16:44:52,0.915,22
0,0,0
0,0,0
16:44:54,0.915,22
0,0,0
0,0,0
16:44:56,0.915,22
0,0,0
0,0,0
16:44:58,0.915,22
0,0,0
0,0,0
16:45:00,0.915,22
0,0,0
0,0,0
16:45:02,0.915,22
0,0,0
0,0,0
16:45:04,0.915,22
0,0,0
0,0,0
16:45:06,0.916,22
0,0,0
0,0,0
16:45:08,0.916,22
0,0,0
0,0,0
16:45:10,0.916,22
0,0,0
0,0,0
16:45:12,0.916,22
0,0,0
0,0,0
16:45:14,0.916,22
0,0,0
0,0,0
16:45:16,0.916,22
0,0,0
0,0,0
16:45:18,0.915,22
0,0,0
0,0,0
16:45:20,0.915,22
0,0,0
0,0,0
16:45:22,0.915,22
0,0,0
0,0,0
16:45:24,0.915,22
0,0,0
0,0,0
16:45:26,0.915,22
0,0,0
0,0,0
16:45:28,0.915,22
0,0,0
0,0,0
16:45:30,0.915,22
0,0,0
0,0,0
16:45:32,0.915,22
0,0,0
0,0,0
16:45:34,0.916,22
0,0,0
0,0,0
16:45:36,0.916,22
0,0,0
0,0,0
16:45:38,0.915,22
0,0,0
0,0,0
16:45:40,0.915,22
0,0,0
0,0,0
16:45:42,0.915,22
0,0,0
0,0,0
16:45:44,0.915,22
0,0,0
0,0,0
16:45:46,0.916,22
0,0,0
0,0,0
16:45:48,0.916,22
0,0,0
0,0,0
16:45:50,0.916,22
0,0,0
0,0,0
16:45:52,0.916,22
0,0,0
0,0,0
16:45:54,0.916,22
0,0,0
0,0,0
16:45:56,0.916,22
0,0,0
0,0,0
16:45:58,0.916,22
0,0,0
0,0,0
16:46:00,0.916,22
0,0,0
0,0,0
16:46:02,0.916,22
0,0,0
0,0,0
16:46:04,0.916,22
0,0,0
0,0,0
16:46:06,0.916,22
0,0,0
0,0,0
16:46:08,0.916,22
0,0,0
0,0,0
16:46:10,0.916,22
0,0,0
0,0,0
16:46:12,0.916,22
0,0,0
0,0,0
16:46:14,0.916,22
0,0,0
0,0,0
