Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1
12:13:06,3.47,3.68,22
12:13:07,2.63,2.8,21.75
12:13:08,2.63,2.8,21.75
12:13:09,2.18,2.31,22
12:13:10,3.02,3.2,22
12:13:11,2.63,2.8,21.75
12:13:12,2.63,2.79,22
12:13:13,3.02,3.2,22
12:13:14,2.63,2.77,22.25
12:13:15,3.02,3.22,21.75
12:13:16,3.47,3.76,21
12:13:17,3.02,3.2,22
12:13:18,3.02,3.2,22
12:13:19,3.02,3.19,22.25
12:13:20,3.47,3.64,22.5
12:13:21,3.47,3.72,21.5
12:13:22,3.47,3.74,21.25
12:13:23,2.63,2.8,21.75
12:13:24,3.02,3.2,22
12:13:25,2.63,2.76,22.5
12:13:26,3.02,3.19,22.25
12:13:27,3.02,3.24,21.5
12:13:28,3.02,3.22,21.75
12:13:29,3.47,3.72,21.5
12:13:30,3.02,3.2,22
12:13:31,3.02,3.19,22.25
12:13:32,3.02,3.22,21.75
12:13:33,2.63,2.8,21.75
12:13:34,3.02,3.2,22
12:13:35,3.02,3.22,21.75
12:13:36,3.02,3.17,22.5
12:13:37,3.02,3.22,21.75
12:13:38,3.02,3.19,22.25
12:13:39,3.47,3.7,21.75
12:13:40,3.02,3.25,21.25
12:13:40,3.47,3.68,22
12:13:42,3.02,3.2,22
12:13:42,3.02,3.2,22
12:13:43,3.02,3.22,21.75
12:13:44,2.18,2.34,21.5
12:13:45,3.02,3.25,21.25
12:13:46,3.02,3.22,21.75
12:13:47,3.02,3.19,22.25
12:13:48,3.47,3.64,22.5
12:13:49,3.02,3.17,22.5
12:13:50,3.02,3.19,22.25
12:13:51,2.63,2.8,21.75
12:13:52,3.47,3.7,21.75
12:13:53,3.02,3.19,22.25
12:13:54,3.02,3.15,22.75
12:13:55,3.47,3.66,22.25
12:13:56,3.47,3.7,21.75
12:13:57,3.47,3.7,21.75
12:13:58,3.47,3.72,21.5
12:13:59,3.47,3.7,21.75
12:14:00,3.02,3.2,22
12:14:01,3.47,3.68,22
12:14:02,3.02,3.2,22
12:14:03,3.02,3.24,21.5
12:14:04,3.02,3.19,22.25
12:14:05,3.47,3.66,22.25
12:14:06,2.63,2.8,21.75
12:14:07,3.02,3.25,21.25
12:14:08,3.02,3.2,22
12:14:09,3.02,3.2,22
12:14:10,3.47,3.64,22.5
12:14:11,3.47,3.7,21.75
12:14:12,3.02,3.2,22
12:14:13,3.02,3.2,22
12:14:14,3.91,4.15,22
12:14:15,3.02,3.22,21.75
12:14:16,2.63,2.82,21.5
12:14:17,3.47,3.68,22
12:14:18,3.47,3.66,22.25
12:14:19,2.63,2.8,21.75
12:14:20,3.02,3.24,21.5
12:14:21,3.47,3.7,21.75
12:14:22,3.91,4.15,22
12:14:22,3.47,3.66,22.25
12:14:23,2.63,2.79,22
12:14:24,3.47,3.7,21.75
12:14:25,3.47,3.7,21.75
12:14:26,2.63,2.83,21.25
12:14:27,3.91,4.15,22
12:14:28,3.47,3.64,22.5
12:14:29,3.47,3.68,22
12:14:30,3.02,3.2,22
12:14:31,3.02,3.22,21.75
12:14:32,3.02,3.19,22.25
12:14:33,3.91,4.13,22.25
12:14:34,3.47,3.62,22.75
12:14:35,3.47,3.72,21.5
12:14:36,3.47,3.7,21.75
12:14:37,3.47,3.72,21.5
12:14:38,3.47,3.7,21.75
12:14:39,3.47,3.66,22.25
12:14:40,3.47,3.64,22.5
12:14:41,3.02,3.2,22
12:14:42,3.47,3.7,21.75
12:14:43,3.02,3.24,21.5
12:14:44,2.63,2.79,22
12:14:45,3.02,3.2,22
12:14:46,3.02,3.2,22
12:14:47,2.63,2.8,21.75
12:14:48,3.02,3.24,21.5
12:14:49,2.18,2.3,22.25
12:14:50,2.63,2.79,22
12:14:51,3.02,3.19,22.25
12:14:52,3.02,3.22,21.75
12:14:53,3.02,3.24,21.5
12:14:54,3.02,3.2,22
12:14:55,3.02,3.19,22.25
12:14:56,2.63,2.76,22.5
12:14:57,3.02,3.25,21.25
12:14:58,3.47,3.7,21.75
12:14:59,3.47,3.72,21.5
12:15:00,17,18.03,22
12:15:01,74.14,77.84,22.5
12:15:02,72.86,76.49,22.5
12:15:03,108.2,115.32,21.75
12:15:04,114,122.75,21.25
12:15:04,114.5,121.42,22
12:15:05,118.1,125.24,22
12:15:06,126.4,132.04,22.75
12:15:07,130,138.56,21.75
12:15:08,133.6,143.12,21.5
12:15:09,136.7,144.96,22
12:15:10,165.2,173.44,22.5
12:15:11,171.9,180.47,22.5
12:15:12,175.1,185.68,22
12:15:13,177.3,186.14,22.5
12:15:14,183.5,195.58,21.75
12:15:15,189.8,199.27,22.5
12:15:16,180.9,188.98,22.75
12:15:17,206.9,217.22,22.5
12:15:18,212.8,224.53,22.25
12:15:19,218.6,235.37,21.25
12:15:20,227.1,237.24,22.75
