Time,"Conductivity, mS","Temperature, C"
0,0,0
0,0,0
16:22:49,0.673,23.7
0,0,0
0,0,0
16:22:51,0.674,23.7
0,0,0
0,0,0
16:22:53,0.675,23.7
0,0,0
0,0,0
16:22:55,0.676,23.7
0,0,0
0,0,0
16:22:57,0.677,23.7
0,0,0
0,0,0
16:22:59,0.678,23.7
0,0,0
0,0,0
16:23:01,0.679,23.7
0,0,0
0,0,0
16:23:03,0.679,23.7
0,0,0
0,0,0
16:23:05,0.68,23.8
0,0,0
0,0,0
16:23:07,0.681,23.8
0,0,0
0,0,0
16:23:09,0.682,23.8
0,0,0
0,0,0
16:23:11,0.682,23.8
0,0,0
0,0,0
16:23:13,0.683,23.8
0,0,0
0,0,0
16:23:15,0.684,23.8
0,0,0
0,0,0
16:23:17,0.685,23.8
0,0,0
0,0,0
16:23:19,0.686,23.8
0,0,0
0,0,0
16:23:21,0.687,23.8
0,0,0
0,0,0
16:23:23,0.688,23.8
0,0,0
0,0,0
16:23:25,0.689,23.8
0,0,0
0,0,0
16:23:27,0.689,23.8
0,0,0
0,0,0
16:23:29,0.69,23.9
0,0,0
0,0,0
16:23:31,0.691,23.9
0,0,0
0,0,0
16:23:33,0.691,23.9
0,0,0
0,0,0
16:23:35,0.692,23.9
0,0,0
0,0,0
16:23:37,0.693,23.9
0,0,0
0,0,0
16:23:39,0.694,23.9
0,0,0
0,0,0
16:23:41,0.696,23.9
0,0,0
0,0,0
16:23:43,0.698,23.9
0,0,0
0,0,0
16:23:45,0.699,23.9
0,0,0
0,0,0
16:23:47,0.701,23.9
0,0,0
0,0,0
16:23:49,0.701,23.9
0,0,0
0,0,0
16:23:51,0.702,23.9
0,0,0
0,0,0
16:23:53,0.703,23.9
0,0,0
0,0,0
16:23:55,0.704,23.9
0,0,0
0,0,0
16:23:57,0.705,24
0,0,0
0,0,0
16:23:59,0.706,24
0,0,0
0,0,0
16:24:01,0.707,24
0,0,0
0,0,0
16:24:03,0.707,24
0,0,0
0,0,0
16:24:05,0.708,24
0,0,0
0,0,0
16:24:07,0.708,24
0,0,0
0,0,0
16:24:09,0.709,24
0,0,0
0,0,0
16:24:11,0.71,24
0,0,0
0,0,0
