Time,"Conductivity, mS","Temperature, C"
13:54:09,0.28,21.6
0,0,0
0,0,0
13:54:11,0.28,21.4
0,0,0
0,0,0
13:54:13,0.282,21.3
0,0,0
0,0,0
13:54:15,0.285,21.2
0,0,0
0,0,0
13:54:17,0.29,21.1
0,0,0
0,0,0
13:54:19,0.296,21
0,0,0
0,0,0
13:54:21,0.302,21
0,0,0
0,0,0
13:54:23,0.307,21
0,0,0
0,0,0
13:54:25,0.307,20.9
0,0,0
0,0,0
13:54:27,0.312,20.9
0,0,0
0,0,0
13:54:29,0.317,20.9
0,0,0
0,0,0
13:54:31,0.322,20.9
0,0,0
0,0,0
13:54:33,0.327,20.9
0,0,0
0,0,0
13:54:35,0.332,20.9
0,0,0
0,0,0
13:54:37,0.336,20.9
0,0,0
0,0,0
13:54:39,0.34,20.9
0,0,0
0,0,0
13:54:41,0.345,20.9
0,0,0
0,0,0
13:54:43,0.345,20.9
0,0,0
0,0,0
13:54:45,0.349,20.9
0,0,0
0,0,0
13:54:47,0.353,20.9
0,0,0
0,0,0
13:54:49,0.357,21
0,0,0
0,0,0
13:54:51,0.361,21
0,0,0
0,0,0
13:54:53,0.365,21
0,0,0
0,0,0
13:54:55,0.369,21
0,0,0
0,0,0
13:54:57,0.372,21
0,0,0
0,0,0
13:54:59,0.372,21
0,0,0
0,0,0
13:55:01,0.376,21
0,0,0
0,0,0
13:55:03,0.38,21.1
0,0,0
0,0,0
13:55:05,0.383,21.1
0,0,0
0,0,0
13:55:07,0.387,21.1
0,0,0
0,0,0
13:55:09,0.39,21.1
0,0,0
0,0,0
13:55:11,0.394,21.1
0,0,0
0,0,0
13:55:13,0.397,21.1
0,0,0
0,0,0
13:55:15,0.401,21.1
0,0,0
0,0,0
13:55:17,0.404,21.2
0,0,0
0,0,0
13:55:19,0.407,21.2
0,0,0
0,0,0
13:55:21,0.41,21.2
0,0,0
0,0,0
13:55:23,0.41,21.2
0,0,0
0,0,0
13:55:25,0.413,21.2
0,0,0
0,0,0
13:55:27,0.416,21.2
0,0,0
0,0,0
13:55:29,0.419,21.3
0,0,0
0,0,0
13:55:31,0.422,21.3
0,0,0
0,0,0
13:55:33,0.425,21.3
0,0,0
0,0,0
13:55:35,0.428,21.3
0,0,0
0,0,0
13:55:37,0.43,21.3
0,0,0
0,0,0
13:55:39,0.433,21.4
0,0,0
0,0,0
13:55:41,0.436,21.4
0,0,0
0,0,0
13:55:43,0.439,21.4
0,0,0
0,0,0
13:55:45,0.439,21.4
0,0,0
0,0,0
13:55:47,0.442,21.4
0,0,0
0,0,0
13:55:49,0.445,21.4
0,0,0
0,0,0
13:55:51,0.448,21.5
0,0,0
0,0,0
13:55:53,0.451,21.5
0,0,0
0,0,0
13:55:55,0.453,21.5
0,0,0
0,0,0
13:55:57,0.455,21.5
0,0,0
0,0,0
13:55:59,0.458,21.5
0,0,0
0,0,0
13:56:01,0.46,21.6
0,0,0
0,0,0
13:56:03,0.463,21.6
0,0,0
0,0,0
13:56:05,0.465,21.6
0,0,0
0,0,0
13:56:07,0.468,21.6
0,0,0
0,0,0
13:56:09,0.468,21.6
0,0,0
0,0,0
13:56:11,0.47,21.6
0,0,0
0,0,0
13:56:13,0.472,21.7
0,0,0
0,0,0
13:56:15,0.475,21.7
0,0,0
0,0,0
13:56:17,0.477,21.7
0,0,0
0,0,0
