Time,"Conductivity, mS","Temperature, C"
15:45:42,1.22,25.5
0,0,0
0,0,0
15:45:45,1.209,26
0,0,0
0,0,0
15:45:47,1.197,26.3
0,0,0
0,0,0
15:45:49,1.195,26.6
0,0,0
0,0,0
15:45:51,1.191,26.8
0,0,0
0,0,0
15:45:53,1.186,26.9
0,0,0
0,0,0
15:45:55,1.181,27.1
0,0,0
0,0,0
15:45:57,1.176,27.2
0,0,0
0,0,0
15:45:59,1.173,27.3
0,0,0
0,0,0
15:46:01,1.17,27.3
0,0,0
0,0,0
15:46:03,1.17,27.3
0,0,0
0,0,0
15:46:05,1.167,27.4
0,0,0
0,0,0
15:46:07,1.165,27.5
0,0,0
0,0,0
15:46:09,1.163,27.5
0,0,0
0,0,0
15:46:11,1.162,27.6
0,0,0
0,0,0
15:46:13,1.16,27.6
0,0,0
0,0,0
15:46:15,1.159,27.6
0,0,0
0,0,0
15:46:17,1.158,27.7
0,0,0
0,0,0
15:46:19,1.157,27.7
0,0,0
0,0,0
15:46:21,1.157,27.7
0,0,0
0,0,0
15:46:23,1.156,27.7
0,0,0
0,0,0
15:46:25,1.156,27.7
0,0,0
0,0,0
15:46:27,1.155,27.7
0,0,0
0,0,0
15:46:29,1.155,27.7
0,0,0
0,0,0
15:46:31,1.155,27.8
0,0,0
0,0,0
15:46:33,1.154,27.8
0,0,0
0,0,0
15:46:35,1.153,27.8
0,0,0
0,0,0
15:46:37,1.152,27.8
0,0,0
0,0,0
15:46:39,1.152,27.8
0,0,0
0,0,0
15:46:41,1.152,27.8
0,0,0
0,0,0
15:46:43,1.152,27.8
0,0,0
0,0,0
15:46:45,1.152,27.8
0,0,0
0,0,0
15:46:47,1.152,27.8
0,0,0
0,0,0
15:46:49,1.152,27.8
0,0,0
0,0,0
15:46:51,1.152,27.8
0,0,0
0,0,0
15:46:53,1.151,27.8
0,0,0
0,0,0
15:46:55,1.151,27.8
0,0,0
0,0,0
15:46:57,1.151,27.8
0,0,0
0,0,0
15:46:59,1.151,27.8
0,0,0
0,0,0
15:47:01,1.151,27.8
0,0,0
0,0,0
15:47:03,1.151,27.8
0,0,0
0,0,0
15:47:05,1.151,27.8
0,0,0
0,0,0
15:47:07,1.151,27.8
0,0,0
0,0,0
15:47:09,1.151,27.8
0,0,0
0,0,0
15:47:11,1.151,27.8
0,0,0
0,0,0
15:47:13,1.151,27.8
0,0,0
0,0,0
15:47:15,1.151,27.8
0,0,0
0,0,0
15:47:17,1.151,27.8
0,0,0
0,0,0
15:47:19,1.151,27.8
0,0,0
0,0,0
15:47:21,1.15,27.8
0,0,0
0,0,0
15:47:23,1.15,27.8
0,0,0
0,0,0
15:47:25,1.15,27.7
0,0,0
0,0,0
15:47:27,1.151,27.7
0,0,0
0,0,0
15:47:29,1.151,27.7
0,0,0
0,0,0
15:47:31,1.151,27.7
0,0,0
0,0,0
15:47:33,1.151,27.7
0,0,0
0,0,0
15:47:35,1.151,27.7
0,0,0
0,0,0
15:47:37,1.151,27.7
0,0,0
0,0,0
15:47:39,1.151,27.7
0,0,0
0,0,0
15:47:41,1.152,27.7
0,0,0
0,0,0
15:47:43,1.152,27.7
0,0,0
0,0,0
15:47:45,1.152,27.7
0,0,0
0,0,0
15:47:47,1.151,27.7
0,0,0
0,0,0
15:47:49,1.151,27.7
0,0,0
0,0,0
15:47:51,1.151,27.7
0,0,0
0,0,0
15:47:53,1.151,27.7
0,0,0
0,0,0
15:47:55,1.151,27.7
0,0,0
0,0,0
15:47:57,1.151,27.7
0,0,0
0,0,0
15:47:59,1.15,27.6
0,0,0
0,0,0
15:48:01,1.151,27.6
0,0,0
0,0,0
15:48:03,1.151,27.6
0,0,0
0,0,0
15:48:05,1.151,27.6
0,0,0
0,0,0
15:48:07,1.152,27.6
0,0,0
0,0,0
15:48:09,1.152,27.6
0,0,0
0,0,0
15:48:11,1.152,27.6
0,0,0
0,0,0
15:48:13,1.152,27.6
0,0,0
0,0,0
15:48:15,1.152,27.6
0,0,0
0,0,0
15:48:17,1.152,27.6
0,0,0
0,0,0
15:48:19,1.152,27.6
0,0,0
0,0,0
15:48:21,1.152,27.6
0,0,0
0,0,0
15:48:23,1.152,27.6
0,0,0
0,0,0
15:48:25,1.151,27.6
0,0,0
0,0,0
15:48:27,1.151,27.6
0,0,0
0,0,0
15:48:29,1.151,27.6
0,0,0
0,0,0
15:48:31,1.151,27.6
0,0,0
0,0,0
15:48:33,1.151,27.5
0,0,0
0,0,0
