Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1
15:00:24,2.55,2.83,19.75
15:00:25,0.99,1.11,19.50
15:00:26,0.99,1.09,20.00
15:00:27,1.51,1.68,19.75
15:00:28,0.98,1.09,19.75
15:00:29,0.46,0.51,19.50
15:00:30,0.99,1.10,19.75
15:00:31,1.51,1.71,18.75
15:00:32,0.98,1.11,19.00
15:00:33,2.03,2.25,19.75
15:00:34,0.46,0.52,19.00
15:00:34,0.00,0.00,19.75
15:00:35,0.46,0.52,19.25
15:00:36,1.51,1.70,19.00
15:00:37,0.46,0.51,19.50
15:00:38,0.46,0.52,19.25
15:00:39,0.99,1.10,19.75
15:00:40,1.51,1.70,19.00
15:00:41,0.46,0.52,19.25
15:00:42,0.99,1.11,19.25
15:00:43,1.51,1.70,19.25
15:00:44,0.98,1.09,19.75
15:00:45,1.51,1.67,20.00
15:00:46,0.98,1.10,19.25
15:00:47,0.46,0.51,19.75
15:00:48,0.46,0.51,19.75
15:00:49,0.46,0.51,19.75
15:00:50,0.46,0.51,19.75
15:00:51,0.46,0.51,19.50
15:00:52,0.46,0.52,19.25
15:00:53,0.46,0.51,19.75
15:00:54,0.46,0.51,19.50
15:00:55,0.46,0.51,20.00
15:00:56,0.98,1.11,19.00
15:00:57,0.98,1.09,19.50
15:00:58,0.46,0.51,19.50
15:00:59,0.46,0.51,19.50
15:01:00,0.98,1.09,19.50
15:01:01,0.98,1.10,19.25
15:01:02,0.46,0.52,19.00
15:01:03,0.46,0.51,19.50
15:01:04,0.46,0.51,19.50
15:01:05,0.98,1.09,19.50
15:01:06,0.98,1.09,19.75
15:01:07,0.46,0.51,19.50
15:01:08,0.46,0.52,19.00
15:01:09,0.46,0.51,19.75
15:01:10,0.98,1.11,18.75
15:01:11,0.98,1.10,19.25
15:01:12,0.98,1.09,19.50
15:01:13,0.46,0.52,19.25
15:01:14,0.46,0.52,19.00
15:01:15,0.46,0.51,19.50
15:01:16,0.98,1.11,19.00
15:01:17,0.46,0.51,19.50
15:01:17,0.46,0.51,19.75
15:01:18,0.98,1.10,19.25
15:01:19,0.98,1.09,19.50
15:01:20,0.46,0.51,19.75
15:01:21,0.46,0.52,19.00
15:01:22,0.46,0.52,19.25
15:01:23,0.46,0.51,19.75
15:01:24,0.98,1.11,19.00
15:01:25,0.46,0.52,19.00
15:01:26,0.46,0.52,19.25
15:01:27,0.98,1.09,19.75
15:01:28,0.00,0.00,19.00
15:01:29,0.46,0.51,20.25
15:01:30,0.46,0.51,19.50
15:01:31,0.46,0.52,19.00
15:01:32,0.00,0.00,19.75
15:01:33,0.46,0.51,20.00
15:01:34,0.00,0.00,19.25
15:01:35,0.98,1.09,19.50
15:01:36,0.46,0.51,20.25
15:01:37,0.46,0.52,18.75
15:01:38,0.00,0.00,19.50
15:01:39,0.46,0.52,19.25
15:01:40,0.46,0.52,19.00
15:01:41,0.46,0.51,19.50
15:01:42,0.00,0.00,19.25
15:01:43,0.98,1.09,19.75
15:01:44,0.98,1.10,19.25
15:01:45,0.98,1.09,19.50
15:01:46,0.00,0.00,20.00
15:01:47,0.00,0.00,19.50
15:01:48,0.46,0.51,19.75
15:01:49,0.00,0.00,19.75
15:01:50,0.46,0.52,19.25
15:01:51,0.46,0.52,19.00
15:01:52,0.46,0.52,19.25
15:01:53,0.46,0.51,19.50
15:01:54,0.46,0.51,19.50
15:01:55,0.00,0.00,19.75
15:01:56,0.98,1.10,19.25
15:01:57,0.46,0.52,19.25
15:01:58,0.98,1.09,19.75
15:01:59,0.98,1.11,19.00
15:01:59,0.46,0.51,19.50
15:02:00,15.94,17.61,20.00
15:02:02,113.60,126.19,19.75
15:02:02,174.50,195.90,19.25
15:02:03,162.80,180.84,19.75
15:02:04,140.30,156.67,19.50
15:02:05,167.10,188.60,19.00
15:02:06,164.90,182.21,20.00
15:02:07,160.80,178.62,19.75
15:02:08,151.60,168.40,19.75
15:02:09,155.80,176.79,18.75
15:02:10,165.60,183.95,19.75
15:02:11,165.50,184.81,19.50
15:02:12,165.20,183.50,19.75
15:02:13,167.90,186.50,19.75
15:02:14,172.80,190.94,20.00
15:02:15,185.10,208.92,19.00
15:02:16,183.50,202.76,20.00
15:02:17,186.90,206.52,20.00
15:02:18,182.90,204.24,19.50
15:02:19,193.50,217.23,19.25
15:02:20,197.50,217.09,20.25
15:02:21,201.30,225.99,19.25
15:02:22,206.50,230.60,19.50
15:02:23,210.40,231.27,20.25
15:02:24,212.80,236.38,19.75
15:02:25,207.70,231.94,19.50
15:02:26,217.20,238.75,20.25
15:02:27,204.10,230.36,19.00
15:02:28,224.50,249.38,19.75
15:02:29,229.00,253.04,20.00
15:02:30,229.10,257.20,19.25
15:02:31,237.20,264.88,19.50
15:02:32,233.60,259.48,19.75
15:02:33,245.70,272.92,19.75
15:02:34,249.20,276.81,19.75
15:02:35,245.90,270.29,20.25
15:02:36,246.30,275.04,19.50
15:02:37,253.50,280.11,20.00
15:02:38,253.60,278.76,20.25
15:02:39,260.10,285.90,20.25
15:02:40,259.60,288.36,19.75
15:02:41,258.90,283.11,20.50
15:02:42,260.10,290.45,19.50
15:02:43,278.30,309.14,19.75
15:02:43,277.40,308.14,19.75
15:02:44,279.60,307.34,20.25
15:02:45,285.70,317.36,19.75
15:02:46,284.40,314.25,20.00
15:02:47,285.60,315.58,20.00
15:02:48,288.30,325.40,19.00
15:02:49,291.80,322.43,20.00
15:02:50,290.90,318.10,20.50
15:02:51,288.20,318.45,20.00
15:02:52,294.10,328.42,19.50
15:02:53,299.40,327.39,20.50
15:02:54,301.20,327.66,20.75
15:02:55,293.20,327.41,19.50
15:02:56,303.00,334.81,20.00
15:02:57,293.00,323.76,20.00
15:02:58,311.20,342.07,20.25
15:02:59,309.60,342.10,20.00
15:03:00,316.00,347.35,20.25
15:03:01,315.40,344.89,20.50
15:03:02,320.70,354.36,20.00
15:03:03,320.00,355.46,19.75
15:03:04,310.40,339.42,20.50
15:03:05,311.30,343.98,20.00
15:03:06,321.30,356.90,19.75
15:03:07,320.20,353.81,20.00
15:03:08,317.80,343.94,21.00
15:03:09,329.70,360.52,20.50
15:03:10,323.70,357.68,20.00
15:03:11,332.50,365.49,20.25
15:03:12,330.00,360.85,20.50
15:03:13,338.60,368.34,20.75
15:03:14,324.80,358.90,20.00
15:03:15,334.90,368.12,20.25
15:03:16,338.50,370.15,20.50
15:03:17,336.70,368.18,20.50
15:03:18,343.20,379.23,20.00
15:03:19,343.80,377.91,20.25
15:03:20,345.40,377.69,20.50
15:03:21,349.70,384.39,20.25
15:03:22,345.80,380.10,20.25
15:03:23,352.50,385.46,20.50
15:03:24,365.20,405.67,19.75
15:03:25,363.60,399.67,20.25
15:03:26,365.50,401.76,20.25
15:03:27,366.70,403.08,20.25
15:03:28,364.60,398.69,20.50
15:03:28,364.70,396.74,20.75
15:03:30,370.10,406.82,20.25
15:03:30,373.60,408.53,20.50
15:03:31,375.30,408.27,20.75
15:03:32,371.70,406.45,20.50
15:03:33,371.10,407.91,20.25
15:03:34,379.40,412.73,20.75
15:03:35,373.30,408.20,20.50
15:03:36,384.90,420.89,20.50
15:03:37,384.20,422.31,20.25
15:03:38,408.80,444.71,20.75
15:03:39,407.40,443.19,20.75
15:03:40,405.30,452.60,19.50
15:03:41,399.00,438.58,20.25
15:03:42,408.80,442.42,21.00
15:03:43,405.70,441.34,20.75
15:03:44,400.60,440.34,20.25
15:03:45,402.00,439.58,20.50
15:03:46,416.20,450.43,21.00
15:03:47,409.20,445.15,20.75
15:03:48,411.20,454.36,20.00
15:03:49,408.40,453.65,19.75
15:03:50,406.40,437.58,21.25
15:03:51,414.10,448.16,21.00
15:03:52,427.60,467.58,20.50
15:03:53,412.00,450.52,20.50
15:03:54,444.40,483.44,20.75
15:03:55,443.00,479.44,21.00
15:03:56,444.60,491.27,20.00
15:03:57,445.20,484.31,20.75
15:03:58,448.90,483.34,21.25
15:03:59,452.40,494.70,20.50
15:04:00,447.90,489.78,20.50
15:04:01,458.90,507.07,20.00
15:04:02,453.80,498.82,20.25
15:04:03,455.50,498.09,20.50
15:04:04,455.30,495.30,20.75
15:04:05,460.20,503.23,20.50
15:04:06,449.70,486.69,21.00
15:04:07,461.60,499.57,21.00
15:04:08,466.70,510.33,20.50
15:04:09,462.90,511.49,20.00
15:04:10,475.40,511.87,21.25
15:04:10,474.20,510.58,21.25
15:04:11,469.30,510.52,20.75
15:04:12,477.90,522.58,20.50
15:04:13,462.30,495.23,21.50
15:04:14,467.70,503.58,21.25
15:04:15,475.00,516.73,20.75
15:04:16,463.80,504.54,20.75
15:04:17,477.80,514.45,21.25
15:04:18,482.50,527.61,20.50
15:04:19,475.80,514.94,21.00
15:04:20,487.60,527.71,21.00
15:04:21,478.10,514.78,21.25
15:04:22,484.60,527.17,20.75
15:04:23,489.60,529.87,21.00
15:04:24,490.20,525.12,21.50
15:04:26,491.00,531.39,21.00
15:04:26,492.80,536.09,20.75
15:04:27,494.80,541.06,20.50
15:04:28,495.80,533.84,21.25
15:04:29,504.10,545.56,21.00
15:04:30,500.50,541.67,21.00
15:04:31,498.60,536.85,21.25
15:04:32,506.30,545.14,21.25
15:04:33,497.90,541.64,20.75
15:04:34,501.10,547.95,20.50
15:04:35,501.40,539.87,21.25
15:04:36,502.20,543.51,21.00
15:04:37,501.70,542.97,21.00
15:04:38,506.00,547.62,21.00
15:04:39,505.10,538.34,21.75
15:04:40,510.30,546.65,21.50
15:04:41,515.20,560.46,20.75
15:04:42,517.80,560.39,21.00
15:04:43,512.50,554.65,21.00
15:04:44,507.60,543.76,21.50
15:04:45,502.00,543.29,21.00
15:04:46,521.20,561.18,21.25
15:04:47,518.20,555.12,21.50
15:04:48,514.10,550.72,21.50
15:04:49,528.60,575.03,20.75
15:04:50,548.00,587.04,21.50
15:04:51,547.70,583.75,21.75
15:04:52,545.40,587.24,21.25
15:04:53,546.80,591.77,21.00
15:04:54,557.50,594.19,21.75
15:04:54,549.60,591.76,21.25
15:04:55,561.80,601.82,21.50
15:04:56,553.20,595.64,21.25
15:04:57,551.20,590.47,21.50
15:04:58,558.00,597.75,21.50
15:04:59,560.70,606.82,21.00
15:05:00,560.70,603.71,21.25
15:05:01,560.40,600.32,21.50
15:05:02,561.00,597.92,21.75
15:05:03,564.70,608.02,21.25
15:05:04,560.60,603.61,21.25
15:05:05,569.40,609.96,21.50
15:05:06,573.60,611.35,21.75
15:05:07,576.80,617.89,21.50
15:05:08,580.90,628.68,21.00
15:05:09,580.30,618.49,21.75
15:05:10,576.70,614.65,21.75
15:05:11,575.60,619.76,21.25
15:05:12,579.70,624.17,21.25
15:05:13,577.10,618.21,21.50
15:05:14,580.50,618.71,21.75
15:05:15,582.90,621.26,21.75
15:05:16,574.20,618.25,21.25
15:05:17,590.50,635.80,21.25
15:05:18,582.40,620.73,21.75
15:05:19,594.70,633.84,21.75
15:05:20,596.80,645.89,21.00
15:05:21,597.80,643.66,21.25
15:05:22,590.50,626.19,22.00
15:05:23,603.70,640.19,22.00
15:05:24,599.50,645.49,21.25
15:05:25,602.70,645.63,21.50
15:05:26,601.40,640.98,21.75
15:05:27,604.60,644.39,21.75
15:05:28,609.00,655.72,21.25
15:05:29,610.50,653.99,21.50
15:05:30,609.60,653.03,21.50
15:05:31,608.70,645.49,22.00
15:05:32,598.10,637.46,21.75
15:05:33,607.60,650.88,21.50
15:05:34,614.30,654.73,21.75
15:05:35,610.30,650.47,21.75
15:05:36,608.40,641.94,22.25
15:05:37,613.60,650.69,22.00
15:05:38,613.00,656.67,21.50
15:05:38,616.60,660.52,21.50
15:05:39,617.00,657.61,21.75
15:05:40,621.10,655.34,22.25
15:05:41,614.70,651.86,22.00
15:05:42,616.80,670.98,20.75
15:05:43,616.00,659.88,21.50
15:05:44,615.60,652.81,22.00
15:05:45,619.10,659.85,21.75
15:05:46,620.90,655.13,22.25
15:05:47,625.10,669.63,21.50
15:05:48,621.70,665.99,21.50
15:05:49,623.50,661.19,22.00
15:05:50,622.40,656.71,22.25
15:05:51,624.10,661.82,22.00
15:05:52,617.30,657.93,21.75
15:05:53,626.90,668.16,21.75
15:05:54,622.70,663.68,21.75
15:05:55,628.70,663.36,22.25
15:05:56,637.50,676.03,22.00
15:05:57,630.00,674.88,21.50
15:05:58,630.50,665.26,22.25
15:05:59,636.20,674.66,22.00
15:06:00,635.00,680.24,21.50
15:06:01,636.80,678.71,21.75
15:06:02,632.20,670.41,22.00
