Time,"Conductivity, mS","Temperature, C"
11:21:19,0.853,24.2
0,0,0
0,0,0
11:21:21,0.848,24.4
0,0,0
0,0,0
11:21:23,0.844,24.6
0,0,0
0,0,0
11:21:25,0.84,24.7
0,0,0
0,0,0
11:21:27,0.838,24.8
0,0,0
0,0,0
11:21:29,0.837,24.9
0,0,0
0,0,0
11:21:31,0.837,24.9
0,0,0
0,0,0
11:21:33,0.837,25
0,0,0
0,0,0
11:21:35,0.837,25.1
0,0,0
0,0,0
11:21:37,0.837,25.2
0,0,0
0,0,0
11:21:39,0.837,25.2
0,0,0
0,0,0
11:21:41,0.838,25.3
0,0,0
0,0,0
11:21:43,0.838,25.3
0,0,0
0,0,0
11:21:45,0.839,25.4
0,0,0
0,0,0
11:21:47,0.839,25.4
0,0,0
0,0,0
11:21:49,0.84,25.4
0,0,0
0,0,0
11:21:51,0.84,25.5
0,0,0
0,0,0
11:21:53,0.84,25.5
0,0,0
0,0,0
11:21:55,0.841,25.5
0,0,0
0,0,0
11:21:57,0.842,25.6
0,0,0
0,0,0
11:21:59,0.843,25.6
0,0,0
0,0,0
11:22:01,0.844,25.6
0,0,0
0,0,0
11:22:03,0.845,25.7
0,0,0
0,0,0
11:22:05,0.845,25.7
0,0,0
0,0,0
11:22:07,0.846,25.7
0,0,0
0,0,0
11:22:09,0.846,25.7
0,0,0
0,0,0
11:22:11,0.847,25.7
0,0,0
0,0,0
11:22:13,0.848,25.8
0,0,0
0,0,0
11:22:15,0.849,25.8
0,0,0
0,0,0
11:22:17,0.849,25.8
0,0,0
0,0,0
11:22:19,0.85,25.8
0,0,0
0,0,0
11:22:21,0.851,25.9
0,0,0
0,0,0
11:22:23,0.852,25.9
0,0,0
0,0,0
11:22:25,0.853,25.9
0,0,0
0,0,0
11:22:27,0.854,25.9
0,0,0
0,0,0
11:22:29,0.855,25.9
0,0,0
0,0,0
11:22:31,0.856,25.9
0,0,0
0,0,0
11:22:33,0.856,25.9
0,0,0
0,0,0
11:22:35,0.857,26
0,0,0
0,0,0
11:22:37,0.857,26
0,0,0
0,0,0
11:22:39,0.858,26
0,0,0
0,0,0
11:22:41,0.859,26
0,0,0
0,0,0
11:22:43,0.86,26
0,0,0
0,0,0
11:22:45,0.861,26
0,0,0
0,0,0
11:22:47,0.863,26
0,0,0
0,0,0
11:22:49,0.863,26
0,0,0
0,0,0
11:22:51,0.864,26.1
0,0,0
0,0,0
11:22:53,0.865,26.1
0,0,0
0,0,0
11:22:55,0.866,26.1
0,0,0
0,0,0
11:22:57,0.866,26.1
0,0,0
0,0,0
11:22:59,0.867,26.1
0,0,0
0,0,0
11:23:01,0.868,26.1
0,0,0
0,0,0
11:23:03,0.869,26.1
0,0,0
0,0,0
11:23:05,0.87,26.1
0,0,0
0,0,0
11:23:07,0.87,26.1
0,0,0
0,0,0
11:23:09,0.871,26.2
0,0,0
0,0,0
11:23:11,0.872,26.2
0,0,0
0,0,0
11:23:13,0.873,26.2
0,0,0
0,0,0
11:23:15,0.873,26.2
0,0,0
0,0,0
11:23:17,0.874,26.2
0,0,0
0,0,0
11:23:19,0.874,26.2
0,0,0
0,0,0
11:23:21,0.875,26.2
0,0,0
0,0,0
11:23:23,0.876,26.2
0,0,0
0,0,0
11:23:25,0.877,26.2
0,0,0
0,0,0
11:23:27,0.878,26.2
0,0,0
0,0,0
11:23:29,0.879,26.3
0,0,0
0,0,0
11:23:31,0.879,26.3
0,0,0
0,0,0
11:23:33,0.88,26.3
0,0,0
0,0,0
11:23:35,0.881,26.3
0,0,0
0,0,0
11:23:37,0.881,26.3
0,0,0
0,0,0
11:23:39,0.882,26.3
0,0,0
0,0,0
11:23:41,0.883,26.3
0,0,0
0,0,0
11:23:43,0.884,26.3
0,0,0
0,0,0
11:23:45,0.884,26.3
0,0,0
0,0,0
11:23:47,0.885,26.4
0,0,0
0,0,0
11:23:49,0.885,26.4
0,0,0
0,0,0
11:23:51,0.886,26.4
0,0,0
0,0,0
11:23:53,0.886,26.4
0,0,0
0,0,0
11:23:55,0.887,26.4
0,0,0
0,0,0
11:23:57,0.888,26.4
0,0,0
0,0,0
11:23:59,0.889,26.4
0,0,0
0,0,0
11:24:01,0.89,26.4
0,0,0
0,0,0
11:24:03,0.891,26.4
0,0,0
