Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1,Temperature_2
12:15:40,0.07,0.08,22,21.75
12:15:46,0.07,0.08,22.5,21.75
12:15:52,0.07,0.08,21.75,21.5
12:15:58,0.07,0.07,22,21.75
12:16:04,0.07,0.07,22.25,21.5
12:16:10,0.07,0.07,22,21.75
12:16:16,0.07,0.07,22.25,21.75
12:16:22,0.07,0.07,22.25,21.75
12:16:28,0.07,0.07,22.25,21.25
12:16:34,0.07,0.07,22,21.75
12:16:40,0.07,0.07,22,21.75
12:16:46,0.07,0.07,22,21.5
12:16:52,0.07,0.07,21.75,21.5
12:16:58,0.07,0.08,22.25,21.75
12:17:04,0.07,0.08,22,22
12:17:10,0.07,0.08,22.25,22
12:17:16,0.07,0.08,22,22
12:17:22,0.07,0.08,22.5,21.5
12:17:28,0.07,0.08,22.25,21
12:17:34,0.07,0.08,21.5,21.75
12:17:40,0.07,0.08,21.5,21.5
12:17:46,0.07,0.08,22,21.5
12:17:52,0.07,0.08,21.75,21.5
12:17:58,0.07,0.08,22.25,22
12:18:04,0.07,0.08,22,21.75
12:18:10,0.07,0.08,22,21.5
12:18:16,0.07,0.08,22,21.5
12:18:22,0.07,0.08,22.5,21.75
12:18:28,0.07,0.08,22,21.5
12:18:34,0.07,0.08,22.25,21.75
12:18:40,0.07,0.07,22.25,21.5
12:18:46,0.07,0.08,21.75,21.75
12:18:52,0.07,0.07,22.25,21.75
12:18:58,0.07,0.07,22,21.5
12:19:04,0.07,0.07,22.25,21
12:19:10,0.07,0.07,22.25,21.75
12:19:16,0.07,0.07,21.75,21.75
12:19:22,0.07,0.07,21.75,21.75
12:19:28,0.07,0.08,22.25,21.75
12:19:34,0.08,0.09,22.25,21.75
12:19:40,0.11,0.11,22.25,21.5
12:19:46,0.15,0.16,22.25,21.5
12:19:52,0.21,0.22,21.75,21.75
12:19:58,0.27,0.29,22.25,21.5
12:20:04,0.33,0.35,22,21.5
12:20:10,0.39,0.41,22.5,21.75
12:20:16,0.43,0.45,21.75,21.75
12:20:22,0.45,0.48,22.25,21.75
12:20:28,0.47,0.49,22.5,22
12:20:34,0.48,0.5,22.5,21.5
12:20:40,0.49,0.51,22.25,22
12:20:46,0.49,0.52,22.25,21.5
12:20:52,0.5,0.52,22.5,21.25
12:20:58,0.5,0.52,22.5,22
12:21:04,0.49,0.51,22.25,21.75
12:21:10,0.47,0.5,22,22
12:21:16,0.47,0.49,22.25,22
12:21:22,0.46,0.49,22,21.5
12:21:28,0.45,0.48,22.25,21.75
12:21:34,0.45,0.48,22.25,21.75
