Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1,Temperature_2
12:11:46,0.23,0.25,22.00,21.25
12:11:52,0.24,0.25,22.00,21.50
12:11:58,0.24,0.25,22.00,21.25
12:12:04,0.24,0.25,21.50,21.50
12:12:10,0.24,0.25,22.25,21.75
12:12:16,0.24,0.25,22.00,21.50
12:12:22,0.24,0.25,22.25,21.50
12:12:28,0.24,0.25,21.75,21.25
12:12:34,0.24,0.25,22.00,21.50
12:12:40,0.24,0.26,21.75,21.50
12:12:46,0.24,0.26,21.50,21.75
12:12:52,0.24,0.25,22.25,21.75
12:12:58,0.24,0.25,22.25,21.00
12:13:04,0.24,0.25,22.00,21.75
12:13:10,0.24,0.25,22.25,21.25
12:13:16,0.24,0.25,22.25,21.25
12:13:22,0.23,0.25,22.00,20.75
12:13:28,0.23,0.25,22.25,21.75
12:13:34,0.23,0.24,22.00,21.50
12:13:40,0.22,0.23,22.00,22.00
12:13:46,0.21,0.23,22.25,21.50
12:13:52,0.21,0.22,22.25,21.50
12:13:58,0.20,0.21,21.75,21.75
12:14:04,0.19,0.20,22.25,21.75
12:14:10,0.18,0.19,22.00,21.75
12:14:16,0.17,0.17,22.25,21.25
12:14:22,0.15,0.16,22.00,21.50
12:14:28,0.14,0.15,22.00,21.75
12:14:34,0.14,0.14,21.50,21.25
12:14:40,0.13,0.13,22.25,21.50
12:14:46,0.12,0.13,21.50,21.50
12:14:52,0.11,0.12,22.25,21.25
12:14:58,0.10,0.11,22.25,21.75
12:15:04,0.10,0.10,21.50,21.25
12:15:10,0.09,0.10,22.25,21.25
12:15:16,0.09,0.09,21.75,21.50
12:15:22,0.08,0.09,22.25,22.00
12:15:28,0.08,0.08,22.00,22.00
12:15:34,0.08,0.08,22.00,21.50
12:15:40,0.07,0.08,22.00,21.75
12:15:46,0.07,0.08,22.50,21.75
12:15:52,0.07,0.08,21.75,21.50
12:15:58,0.07,0.07,22.00,21.75
12:16:04,0.07,0.07,22.25,21.50
12:16:10,0.07,0.07,22.00,21.75
12:16:16,0.07,0.07,22.25,21.75
12:16:22,0.07,0.07,22.25,21.75
12:16:28,0.07,0.07,22.25,21.25
12:16:34,0.07,0.07,22.00,21.75
12:16:40,0.07,0.07,22.00,21.75
12:16:46,0.07,0.07,22.00,21.50
12:16:52,0.07,0.07,21.75,21.50
12:16:58,0.07,0.08,22.25,21.75
12:17:04,0.07,0.08,22.00,22.00
12:17:10,0.07,0.08,22.25,22.00
12:17:16,0.07,0.08,22.00,22.00
12:17:22,0.07,0.08,22.50,21.50
12:17:28,0.07,0.08,22.25,21.00
12:17:34,0.07,0.08,21.50,21.75
12:17:40,0.07,0.08,21.50,21.50
12:17:46,0.07,0.08,22.00,21.50
12:17:52,0.07,0.08,21.75,21.50
12:17:58,0.07,0.08,22.25,22.00
12:18:04,0.07,0.08,22.00,21.75
