Time,Conductivity (mS),Temperature (C)
16:37:07,0.465,21.1
0,0,0
0,0,0
16:37:09,0.465,21.1
0,0,0
0,0,0
16:37:11,0.465,21.1
0,0,0
0,0,0
16:37:13,0.465,21.1
0,0,0
0,0,0
16:37:15,0.465,21.1
0,0,0
0,0,0
16:37:17,0.465,21.1
0,0,0
0,0,0
16:37:19,0.465,21.1
0,0,0
0,0,0
16:37:21,0.465,21.1
0,0,0
0,0,0
16:37:23,0.465,21.1
0,0,0
0,0,0
16:37:25,0.465,21.1
0,0,0
0,0,0
16:37:27,0.465,21.1
0,0,0
0,0,0
16:37:29,0.465,21.1
0,0,0
0,0,0
16:37:31,0.465,21.1
0,0,0
0,0,0
16:37:33,0.465,21.1
0,0,0
0,0,0
16:37:35,0.465,21.1
0,0,0
0,0,0
16:37:37,0.465,21.1
0,0,0
0,0,0
16:37:39,0.465,21.1
0,0,0
0,0,0
16:37:41,0.465,21.1
0,0,0
0,0,0
16:37:43,0.465,21.1
0,0,0
0,0,0
16:37:45,0.465,21.1
0,0,0
0,0,0
16:37:47,0.465,21.1
0,0,0
0,0,0
16:37:49,0.465,21.1
0,0,0
0,0,0
16:37:51,0.465,21.1
0,0,0
0,0,0
16:37:53,0.465,21.1
0,0,0
0,0,0
16:37:55,0.465,21.1
0,0,0
0,0,0
16:37:57,0.465,21.1
0,0,0
0,0,0
16:37:59,0.465,21.1
0,0,0
0,0,0
16:38:01,0.465,21.1
0,0,0
0,0,0
16:38:03,0.465,21.1
0,0,0
0,0,0
16:38:05,0.465,21.1
0,0,0
0,0,0
16:38:07,0.465,21.1
0,0,0
0,0,0
16:38:09,0.465,21.1
0,0,0
0,0,0
16:38:11,0.465,21.1
0,0,0
0,0,0
16:38:13,0.465,21.1
0,0,0
0,0,0
16:38:15,0.465,21.1
0,0,0
0,0,0
16:38:17,0.465,21.1
0,0,0
0,0,0
16:38:19,0.465,21.1
0,0,0
0,0,0
16:38:21,0.465,21.1
0,0,0
0,0,0
16:38:23,0.465,21.1
0,0,0
0,0,0
16:38:25,0.465,21.1
0,0,0
0,0,0
16:38:27,0.465,21.1
0,0,0
0,0,0
16:38:29,0.465,21.1
0,0,0
0,0,0
16:38:31,0.465,21.1
0,0,0
0,0,0
16:38:33,0.465,21.1
0,0,0
0,0,0
16:38:35,0.465,21.1
0,0,0
0,0,0
16:38:37,0.465,21.1
0,0,0
0,0,0
16:38:39,0.465,21.1
0,0,0
0,0,0
16:38:41,0.465,21.1
0,0,0
0,0,0
16:38:43,0.465,21.1
0,0,0
0,0,0
16:38:45,0.465,21.1
0,0,0
0,0,0
16:38:47,0.465,21.1
0,0,0
0,0,0
16:38:49,0.465,21.1
0,0,0
0,0,0
16:38:51,0.465,21.1
0,0,0
0,0,0
16:38:53,0.465,21.1
0,0,0
0,0,0
16:38:55,0.465,21.1
0,0,0
0,0,0
16:38:57,0.465,21.1
0,0,0
0,0,0
16:38:59,0.465,21.1
0,0,0
0,0,0
16:39:01,0.465,21.1
0,0,0
0,0,0
16:39:03,0.465,21.1
0,0,0
0,0,0
16:39:05,0.465,21.1
0,0,0
0,0,0
16:39:07,0.465,21.1
0,0,0
0,0,0
16:39:09,0.465,21.1
0,0,0
0,0,0
16:39:11,0.465,21.1
0,0,0
0,0,0
16:39:13,0.465,21.1
0,0,0
0,0,0
16:39:15,0.465,21.1
0,0,0
0,0,0
16:39:17,0.465,21.1
0,0,0
0,0,0
16:39:19,0.465,21.1
0,0,0
0,0,0
16:39:21,0.465,21.1
0,0,0
0,0,0
16:39:23,0.465,21.1
0,0,0
0,0,0
16:39:25,0.465,21.1
0,0,0
0,0,0
16:39:27,0.465,21.1
0,0,0
0,0,0
16:39:29,0.465,21.1
0,0,0
0,0,0
16:39:31,0.465,21.1
0,0,0
0,0,0
16:39:33,0.465,21.1
0,0,0
0,0,0
16:39:35,0.465,21.1
0,0,0
0,0,0
16:39:37,0.465,21.1
0,0,0
0,0,0
16:39:39,0.465,21.1
0,0,0
0,0,0
16:39:41,0.465,21.1
0,0,0
0,0,0
16:39:43,0.465,21.1
0,0,0
0,0,0
16:39:45,0.465,21.1
0,0,0
0,0,0
16:39:47,0.465,21.1
0,0,0
0,0,0
16:39:49,0.465,21.1
0,0,0
0,0,0
16:39:51,0.465,21.1
0,0,0
0,0,0
16:39:53,0.465,21.1
0,0,0
0,0,0
16:39:55,0.465,21.1
